name,handedness,height,weight,avg,HR,,Handedness Abbreviation
Tom Brown,Right,73,170,0,0,,R
Denny Lemaster,Right,73,182,0.13,4,,R
Joe Nolan,Left,71,175,0.263,27,,L
Denny Doyle,Left,69,175,0.25,16,,L
Jose Cardenal,Right,70,150,0.275,138,,R
Mike Ryan,Right,74,205,0.193,28,,R
Fritz Peterson,Both,72,185,0.159,2,,B
Dick Bertell,Right,72,200,0.25,10,,R
Rod Kanehl,Right,73,180,0.241,6,,R
Ozzie Osborn,Right,74,195,0,0,,R
John LaRose,Left,73,185,0,0,,L
Jeff Byrd,Right,75,195,0,0,,R
Juan Bonilla,Right,69,170,0.256,7,,R
Frank Tepedino,Left,71,185,0.241,6,,L
Jerry Kutzler,Left,73,175,0,0,,L
Rick Wise,Right,73,180,0.195,15,,R
Darrell Evans,Left,74,200,0.248,414,,L
Buck Martinez,Right,70,190,0.225,58,,R
John Wockenfuss,Right,72,190,0.262,86,,R
Tommy McCraw,Left,72,183,0.246,75,,L
Jeff Barkley,Both,75,185,0,0,,B
Eric Wilkins,Right,73,190,0,0,,R
Britt Burns,Left,77,215,0,0,,L
Lee Lacy,Right,73,175,0.286,91,,R
Pete Rose,Both,71,192,0.303,160,,B
Danny Walton,Right,72,195,0.223,28,,R
Bobby Cox,Right,71,180,0.225,9,,R
Brad Wellman,Right,72,170,0.231,6,,R
Jeff Newman,Right,74,215,0.224,63,,R
Pedro Gonzalez,Right,72,176,0.244,8,,R
Nardi Contreras,Both,74,193,0,0,,B
Tommie Reynolds,Right,74,190,0.226,12,,R
Gene Clines,Right,69,170,0.277,5,,R
Jim Hickman,Right,75,192,0.252,159,,R
Jack Billingham,Right,76,195,0.111,0,,R
Jerry Buchek,Right,71,185,0.22,22,,R
Ivan DeJesus,Right,71,175,0.254,21,,R
Gary Nolan,Right,74,197,0.138,1,,R
Gil Patterson,Right,73,185,0,0,,R
Fred Whitfield,Left,73,190,0.253,108,,L
Larry Dierker,Right,76,215,0.136,4,,R
Dave Skaggs,Right,74,200,0.241,3,,R
Dick Ruthven,Right,75,190,0.183,1,,R
Jerry Garvin,Left,75,195,0,0,,L
Steve Eddy,Right,74,185,0,0,,R
